service_id,service_name,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
59_D24,December 24,0,0,0,0,0,0,0,20130825,20131130
59_D31,December 31,0,0,0,0,0,0,0,20130825,20131130
59_HOL,Holiday,0,0,0,0,0,0,0,20130825,20131130
59_MWK,Modified,0,0,0,0,0,0,0,20130825,20131130
59_SAT,Saturday,0,0,0,0,0,1,0,20130825,20131130
59_SAT:L,Standard Fri-Sat,0,0,0,0,1,1,0,20130825,20131130
59_SAT:R,Recess Saturday,0,0,0,0,0,0,0,20130825,20131130
59_SAT:S,Standard Saturday,0,0,0,0,0,1,0,20130825,20131130
59_SUN,Sunday,0,0,0,0,0,0,1,20130825,20131130
59_SUN:L,Standard Sun-Thu,1,1,1,1,0,0,1,20130825,20131130
59_SUN:R,Recess Sunday,0,0,0,0,0,0,0,20130825,20131130
59_SUN:S,Standard Sunday,0,0,0,0,0,0,1,20130825,20131130
59_WKD,Weekday,1,1,1,1,1,0,0,20130825,20131130
59_WKD:G,Weekday Extra,1,1,1,1,1,0,0,20130825,20131130
59_WKD:R,Recess Weekday,0,0,0,0,0,0,0,20130825,20131130
59_WKD:S,Standard Weekday,1,1,1,1,1,0,0,20130825,20131130
59_WKD:S#6,Standard Mon-Thu,1,1,1,1,0,0,0,20130825,20131130
59_WKD:S=6,Standard Fri only,0,0,0,0,1,0,0,20130825,20131130
