date,exception_type,service_id
20170529,2,77_WKD
20170529,2,77_WKD:R
20170529,1,77_HOL
20170704,2,77_WKD
20170704,2,77_WKD:R
20170704,1,77_HOL
20170903,2,79_SUN:L
20170904,2,79_WKD
20170904,2,79_WKD:G
20170904,2,79_WKD:L#6
20170904,2,79_WKD:S
20170904,2,79_WKD:S#6
20170904,1,79_HOL
20171122,2,79_WKD:L#6
20171123,2,79_WKD
20171123,2,79_WKD:G
20171123,2,79_WKD:L#6
20171123,2,79_WKD:S
20171123,2,79_WKD:S#6
20171123,1,79_HOL
20171124,2,79_WKD
20171124,2,79_WKD:G
20171124,2,79_WKD:L=6
20171124,2,79_WKD:S
20171124,2,79_WKD:S=6
20171124,1,79_MWK
20171124,1,79_MWK:R
20171125,2,79_SAT:S
20171125,2,79_SAT:L
20171125,1,79_SAT:R
