route_id,fare_id
7236,c
7237,c
7238,c
7239,c
7240,c
7241,c
7242,c
7243,c
7244,c
7245,c
7246,c
7247,c
7248,c
7249,c
7250,c
7251,c
7252,c
7253,c
7254,c
7255,c
7256,c
7257,c
7258,c
7259,c
7260,c
7261,c
7262,c
7263,c
7264,c
7265,c
7266,c
7267,c
7268,c
7269,c
7270,c
7271,c
7272,c
7273,c
7274,c
7275,c
7276,c
7277,c
7278,c
7279,c
7280,c
7281,c
7282,c
7283,c
7284,c
7285,c
7286,c
7287,c
7288,c
7289,c
7290,c
7291,c
7292,c
7293,c
7294,f
7295,f
7296,f
7297,f
