route_id,agency_id,route_short_name,route_long_name,route_service_name,route_desc,route_type,route_url,route_color,route_text_color,bikes_allowed
7527,MMT,01,,OLD UNIV:CAP SQR,Serves Capitol Square to/from Old University Avenue. Operates regularly in both directions only from about 9 AM to 3 PM on weekday service days.,3,http://www.cityofmadison.com/Metro/schedules/Route01/,E3D23E,000000,1
7528,MMT,02,,WEST TP:NORTH TP,Serves West Transfer Point to/from North Transfer Point. Operates regularly in both directions during entire day on every service day.,3,http://www.cityofmadison.com/Metro/schedules/Route02/,981F66,FFFFFF,1
7529,MMT,03,,WEST TP:EAST TP,Serves West Transfer Point to/from East Transfer Point. Operates regularly in both directions during entire day on weekday service days only.,3,http://www.cityofmadison.com/Metro/schedules/Route03/,CD8382,000000,1
7530,MMT,04,,SOUTH TP:NORTH TP,Serves South Transfer Point to/from North Transfer Point. Operates regularly in both directions during entire day on every service day.,3,http://www.cityofmadison.com/Metro/schedules/Route04/,42784D,000000,1
7531,MMT,05,,SOUTH TP:EAST TP,Serves South Transfer Point to/from East Transfer Point. Operates regularly in both directions during entire day on every service day.,3,http://www.cityofmadison.com/Metro/schedules/Route05/,B46A5B,000000,1
7532,MMT,06,,E TOWNE:WEST TP,Serves West Transfer Point to/from East Towne Mall. Operates regularly in both directions during entire day on every service day; via Tokay and MATC only during weekday service days.,3,http://www.cityofmadison.com/Metro/schedules/Route06/,CC382C,000000,1
7533,MMT,07,,WEST TP:EAST TP,Serves West Transfer Point to/from East Transfer Point. Operates regularly in both directions during entire day on weekend and holiday/modified service days only.,3,http://www.cityofmadison.com/Metro/schedules/Route07/,AEC34B,000000,1
7534,MMT,08,,SPRNG HB:CAP SQR,Serves Capitol Square to/from Spring Harbor. Operates regularly in both directions during entire day on weekend and holiday/modified service days only.,3,http://www.cityofmadison.com/Metro/schedules/Route08/,D8A464,000000,1
7535,MMT,10,,UNIV ROW:UNION CS,Serves University Row to/from Union Corners. Operates regularly in both directions on weekday service days only; between University Row and UW Campus from about 7 AM to 10 PM; between Union Corners and UW Campus from about 7 AM to 6 PM.,3,http://www.cityofmadison.com/Metro/schedules/Route10/,919249,000000,1
7536,MMT,11,,DUTCH ML:WEST TP,Serves West Transfer Point to/from UW Campus-Capitol Square-Dutch Mill. Operates regularly in Dutch Mill direction from about 6 AM to 9 AM and in West Transfer Point direction from about 3 PM to 6 PM on weekday service days only.,3,http://www.cityofmadison.com/Metro/schedules/Route11/,D3886A,000000,1
7537,MMT,12,,DUTCH ML:WEST TP,Serves Dutch Mill to/from Capitol Square-West Transfer Point. Operates regularly in West Transfer Point direction from about 6 AM to 9 AM and in Dutch Mill direction from about 3 PM to 6 PM on weekday service days only.,3,http://www.cityofmadison.com/Metro/schedules/Route12/,9B8821,000000,1
7538,MMT,13,,U CAMPUS:SOUTH TP,Serves South Transfer Point to/from UW Campus. Operates regularly in both directions during entire day on every service day.,3,http://www.cityofmadison.com/Metro/schedules/Route13/,803E0E,000000,1
7539,MMT,14,,WEXFD RG:ETP/SQR,Serves Wexford Ridge to/from Capitol Square-East Transfer Point. Operates regularly in both directions on weekday service days only; between Wexford Ridge and Capitol Square during entire day; between East Transfer Point and Capitol Square only from about 6 AM to 9 AM and 3 PM to 6 PM.,3,http://www.cityofmadison.com/Metro/schedules/Route14/,778D22,000000,1
7540,MMT,15,,JUNCT RG:ETP/SQR,Serves Junction Ridge to/from Capitol Square-East Transfer Point. Operates regularly in both directions on weekday service days only; between Junction Ridge and Capitol Square during entire day; between East Transfer Point and Capitol Square and via Greenway only from about 6 AM to 9 AM and 3 PM to 7 PM.,3,http://www.cityofmadison.com/Metro/schedules/Route15/,C3C946,000000,1
7541,MMT,16,,SOUTH TP:EAST TP,Serves South Transfer Point to/from East Transfer Point. Operates regularly in both directions during entire day on every service day.,3,http://www.cityofmadison.com/Metro/schedules/Route16/,B86FAD,000000,1
7542,MMT,17,,NORTH TP:EAST TP,Serves North Transfer Point to/from East Transfer Point. Operates regularly in both directions from about 6 AM to 10 PM on weekday service days; during entire day on weekend and holiday/modified service days.,3,http://www.cityofmadison.com/Metro/schedules/Route17/,4D6BB1,000000,1
