stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,agency_id,stop_jurisdiction,location_type,parent_station,position,direction,wheelchair_boarding
1123,1123,Roth & Ruskin (EB),This stop (#1123) is eastbound on the 1799 block of ROTH ST nearside RUSKIN ST,43.111258,-89.361482,MMT,CMAD,0,,nearside,eastbound,0
1161,1161,N Sherman & Roth (NB),This stop (#1161) is northbound on the 1099 block of SHERMAN AVE (N) nearside ROTH ST,43.111429,-89.36368,MMT,CMAD,0,,nearside,northbound,1
1572,1572,Roth & N Sherman (WB),This stop (#1572) is westbound on the 1700 block of ROTH ST nearside SHERMAN AVE (N),43.111671,-89.363618,MMT,CMAD,0,,nearside,westbound,1
3150,3150,Nob Hill & Badger (WB),This stop (#3150) is westbound on the 98 block of NOB HILL RD nearside BADGER LN,43.041557,-89.374216,MMT,TMAD,0,,nearside,westbound,0
3505,3505,Nob Hill & Badger (EB),This stop (#3505) is eastbound on the 99 block of NOB HILL RD farside BADGER LN,43.041413,-89.373945,MMT,TMAD,0,,farside,eastbound,0
4350,4350,Chalet Gardens & Verona E (WB),This stop (#4350) is westbound on the 2301 block of CHALET GARDENS RD nearside VERONA FRONTAGE (E),43.027863,-89.463642,MMT,CFIT,0,,nearside,westbound,0
4387,4387,E Cheryl & Research Park (EB),This stop (#4387) is eastbound on the 5499 block of E CHERYL PKWY farside RESEARCH PARK DR,43.004916,-89.424608,MMT,CFIT,0,,farside,eastbound,0
4400,4400,Northern Lights & Epic Staff B (SB),This stop (#4400) is southbound on the 2601 block of NORTHERN LIGHTS BLVD adjacent EPIC STAFF B,42.995476,-89.564243,MMT,PEPC,0,,adjacent,southbound,1
4416,4416,Crescent & Sentinel (SB),This stop (#4416) is southbound on the 4400 block of CRESCENT RD farside SENTINEL PASS,43.026953,-89.44901,MMT,CFIT,0,,farside,southbound,0
4432,4432,Lovell & Allied (WB),This stop (#4432) is westbound on the 4800 block of LOVELL LN farside ALLIED DR,43.02695,-89.460089,MMT,CMAD,0,,farside,westbound,1
4493,4493,Executive & Marketplace (EB),This stop (#4493) is eastbound on the 5950 block of EXECUTIVE DR farside MARKETPLACE DR,43.01304,-89.457232,MMT,CFIT,0,,farside,eastbound,0
4715,4715,Stewart & Watford (EB),This stop (#4715) is eastbound on the 1001 block of STEWART ST nearside WATFORD WAY,43.02997,-89.399738,MMT,CMAD,0,,nearside,eastbound,0
4810,4810,Verona E & Capital City (SB),This stop (#4810) is southbound on the 5198 block of VERONA FRONTAGE (E) adjacent CAPITOL CITY PATH,43.025946,-89.466478,MMT,CFIT,0,,adjacent,southbound,0
4820,4820,Verona E & Williamsburg (SB),This stop (#4820) is southbound on the 5298 block of VERONA FRONTAGE (E) nearside WILLIAMSBURG WAY,43.023555,-89.468031,MMT,CFIT,0,,nearside,southbound,0
4833,4833,King James & Anton (EB),This stop (#4833) is eastbound on the 2998 block of KING JAMES WAY nearside ANTON DR,43.019157,-89.473937,MMT,CFIT,0,,nearside,eastbound,0
4870,4870,Lovell & Chalet Gardens (WB),This stop (#4870) is westbound on the 4998 block of LOVELL LN nearside CHALET GARDENS RD,43.026798,-89.462136,MMT,CFIT,0,,nearside,westbound,0
6219,6219,Tree & S Gammon (EB),This stop (#6219) is eastbound on the 7001 block of TREE LN nearside GAMMON RD (S),43.065463,-89.503089,MMT,CMAD,0,,nearside,eastbound,1
6242,6242,S Westfield & Oak Creek (SB),This stop (#6242) is southbound on the 98 block of WESTFIELD RD (S) farside OAK CREEK TRL,43.066426,-89.50862,MMT,CMAD,0,,farside,southbound,0
6276,6276,Grand Canyon & Mineral Point (SB),This stop (#6276) is southbound on the 398 block of GRAND CANYON DR nearside MINERAL POINT RD,43.061625,-89.497258,MMT,CMAD,0,,nearside,southbound,1
6314,6314,N Westfield & Farmington (SB),This stop (#6314) is southbound on the 298 block of WESTFIELD RD (N) farside FARMINGTON WAY,43.070642,-89.510526,MMT,CMAD,0,,farside,southbound,0
6373,6373,Grand Canyon & Mineral Point (NB),This stop (#6373) is northbound on the 399 block of GRAND CANYON DR farside MINERAL POINT RD,43.061491,-89.496962,MMT,CMAD,0,,farside,northbound,1
6445,6445,S Gammon & Memorial High (NB),This stop (#6445) is northbound on the 201 block of GAMMON RD (S) adjacent MEMORIAL HIGH,43.064263,-89.502396,MMT,CMAD,0,,adjacent,northbound,1
6540,6540,Colony & N Gammon (WB),This stop (#6540) is westbound on the 6998 block of COLONY DR nearside GAMMON RD (N),43.068534,-89.502352,MMT,CMAD,0,,nearside,westbound,0
6715,6715,S Westfield & Mineral Point (NB),This stop (#6715) is northbound on the 399 block of WESTFIELD RD (S) farside MINERAL POINT RD,43.060992,-89.507626,MMT,CMAD,0,,farside,northbound,1
6773,6773,N Westfield & Farmington (NB),This stop (#6773) is northbound on the 299 block of WESTFIELD RD (N) nearside FARMINGTON WAY,43.070758,-89.510242,MMT,CMAD,0,,nearside,northbound,0
6807,6807,Farmington & N Gammon (EB),This stop (#6807) is eastbound on the 7001 block of FARMINGTON WAY nearside GAMMON RD (N),43.07156,-89.502701,MMT,CMAD,0,,nearside,eastbound,0
6815,6815,S Westfield & Oak Creek (NB),This stop (#6815) is northbound on the 99 block of WESTFIELD RD (S) nearside OAK CREEK TRL,43.06656,-89.508336,MMT,CMAD,0,,nearside,northbound,0
6835,6835,University & Maple (NB),This stop (#6835) is northbound on the 6600 block of UNIVERSITY AVE nearside MAPLE ST,43.095407,-89.493837,MMT,CMID,0,,nearside,northbound,0
6934,6934,S Gammon & Memorial High (SB),This stop (#6934) is southbound on the 200 block of GAMMON RD (S) opposite MEMORIAL HIGH,43.063574,-89.502914,MMT,CMAD,0,,opposite,southbound,1
6959,6959,S Gammon & Mineral Point (NB),This stop (#6959) is northbound on the 399 block of GAMMON RD (S) farside MINERAL POINT RD,43.061103,-89.502479,MMT,CMAD,0,,farside,northbound,1
6962,6962,S Westfield & Mineral Point (SB),This stop (#6962) is southbound on the 398 block of WESTFIELD RD (S) nearside MINERAL POINT RD,43.061261,-89.50791,MMT,CMAD,0,,nearside,southbound,0
6968,6968,Farmington & N Gammon (WB),This stop (#6968) is westbound on the 7000 block of FARMINGTON WAY farside GAMMON RD (N),43.071774,-89.502861,MMT,CMAD,0,,farside,westbound,0
7143,7143,Galileo & Apollo (NB),This stop (#7143) is northbound on the 701 block of GALILEO DR nearside APOLLO WAY,43.087644,-89.276368,MMT,CMAD,0,,nearside,northbound,0
7440,7440,Vicksburg & Galileo (WB),This stop (#7440) is westbound on the 6100 block of VICKSBURG RD nearside GALILEO DR,43.089726,-89.273375,MMT,CMAD,0,,nearside,westbound,0
7677,7677,Vicksburg & Traveler (EB),This stop (#7677) is eastbound on the 6299 block of VICKSBURG RD nearside TRAVELER LN,43.089544,-89.270672,MMT,CMAD,0,,nearside,eastbound,0
7858,7858,Galileo & Apollo (SB),This stop (#7858) is southbound on the 698 block of GALILEO DR nearside APOLLO WAY,43.088046,-89.276207,MMT,CMAD,0,,nearside,southbound,0
8184,8184,Stonecreek & Mckee (SB),This stop (#8184) is southbound on the 3200 block of STONECREEK DR farside MCKEE RD,43.015428,-89.503302,MMT,CMAD,0,,farside,southbound,0
8288,8288,Maple Grove & Stratford (SB),This stop (#8288) is southbound on the 2916 block of MAPLE GROVE DR farside STRATFORD DR,43.021858,-89.498906,MMT,CMAD,0,,farside,southbound,0
8319,8319,Brookwood & Hammersley (NB),This stop (#8319) is northbound on the 1299 block of BROOKWOOD RD farside HAMMERSLEY RD,43.039554,-89.485673,MMT,CMAD,0,,farside,northbound,1
8359,8359,Maple Grove & Stratford (NB),This stop (#8359) is northbound on the 2915 block of MAPLE GROVE DR nearside STRATFORD DR,43.021428,-89.498609,MMT,CMAD,0,,nearside,northbound,0
8376,8376,Muir Field & Mckee (SB),This stop (#8376) is southbound on the 3198 block of MUIR FIELD RD nearside MCKEE RD,43.016112,-89.511641,MMT,CMAD,0,,nearside,southbound,0
8463,8463,Stonecreek & East Pass (NB),This stop (#8463) is northbound on the 3299 block of STONECREEK DR farside EAST PASS,43.012895,-89.502349,MMT,CMAD,0,,farside,northbound,0
8561,8561,Stratford & Shefford (EB),This stop (#8561) is eastbound on the 6899 block of STRATFORD DR farside SHEFFORD DR,43.021642,-89.500731,MMT,CMAD,0,,farside,eastbound,0
8694,8694,Stratford & Shefford (WB),This stop (#8694) is westbound on the 6900 block of STRATFORD DR farside SHEFFORD DR,43.021606,-89.501533,MMT,CMAD,0,,farside,westbound,0
8718,8718,Stonecreek & East Pass (SB),This stop (#8718) is southbound on the 3298 block of STONECREEK DR nearside EAST PASS,43.01276,-89.502645,MMT,CMAD,0,,nearside,southbound,0
8806,8806,East Pass & Maple Grove (WB),This stop (#8806) is westbound on the 6700 block of EAST PASS farside MAPLE GROVE DR,43.0127,-89.499303,MMT,CMAD,0,,farside,westbound,0
8865,8865,Stonecreek & Mckee (NB),This stop (#8865) is northbound on the 3201 block of STONECREEK DR nearside MCKEE RD,43.015562,-89.503006,MMT,CMAD,0,,nearside,northbound,0
9338,9338,Portage & Old Gate (SB),This stop (#9338) is southbound on the 3520 block of PORTAGE RD nearside OLD GATE RD,43.139456,-89.3114,MMT,CMAD,0,,nearside,southbound,0
9793,9793,City View & Burke (NB),This stop (#9793) is northbound on the 3099 block of CITY VIEW DR nearside BURKE RD,43.135691,-89.287732,MMT,CMAD,0,,nearside,northbound,0
9860,9860,E Springs & Zeier (WB),This stop (#9860) is westbound on the 2000 block of EAST SPRINGS DR nearside ZEIER RD,43.125343,-89.299933,MMT,CMAD,0,,nearside,westbound,0
1110,1110,E Dayton & Wisconsin (WB),This EVENT/DETOUR ONLY stop (#1110) is westbound on the 2 block of E DAYTON ST nearside of WISCONSIN AV,43.076428,-89.385920,MMT,CMAD,0,,nearside,westbound,1
1111,1111,W Doty & M L K Junior (EB),This EVENT/DETOUR ONLY stop (#1111) is eastbound on the 1 block of W DOTY ST nearside of MARTIN LUTHER KING JR BLVD,43.072938,-89.382354,MMT,CMAD,0,,nearside,eastbound,1
1124,1124,S Fairchild & W Main (SB),This EVENT/DETOUR ONLY stop (#1124) is southbound on the 98 block of S FAIRCHILD ST nearside of W MAIN ST,43.072467,-89.385273,MMT,CMAD,0,,nearside,southbound,1
1135,1135,N Webster & E Mifflin (NB),This EVENT/DETOUR ONLY stop (#1135) is northbound on the 101 block of N WEBSTER ST farside of E MIFFLIN ST,43.077272,-89.383413,MMT,CMAD,0,,farside,northbound,1
1140,1140,E Washington & N Webster (WB),This EVENT/DETOUR ONLY stop (#1140) is westbound on the 200 block of E WASHINGTON AV nearside of N WEBSTER ST,43.076390,-89.381930,MMT,CMAD,0,,nearside,westbound,1
1146,1146,N Fairchild & W Washington (SB),This EVENT/DETOUR ONLY stop (#1146) is southbound on the 50 block of N FAIRCHILD ST nearside of W WASHINGTON AV,43.073504,-89.386724,MMT,CMAD,0,,nearside,southbound,1
1155,1155,S Webster & E Main (NB),This EVENT/DETOUR ONLY stop (#1155) is northbound on the 99 block of S WEBSTER ST farside of E MAIN ST,43.075579,-89.381192,MMT,CMAD,0,,farside,northbound,1
1174,1174,W Dayton & State (WB),This EVENT/DETOUR ONLY stop (#1174) is westbound on the 198 block of W DAYTON ST nearside of STATE ST,43.075120,-89.387855,MMT,CMAD,0,,nearside,westbound,1
1189,1189,E Doty & S Pinckney (EB),This EVENT/DETOUR ONLY stop (#1189) is eastbound on the 101 block of E DOTY ST nearside of S PINCKNEY ST,43.074111,-89.380724,MMT,CMAD,0,,farside,eastbound,1
4000,SoTP,South Transfer Point,The South Transfer Point station is located at 2430 S PARK ST - just north of W BADGER RD,43.038957,-89.394651,MMT,MTSM,1,,,,1
4100,4100,South Transfer Point,This stop (#4100) is on the pedestrian island at the South Transfer Point station,43.038895,-89.394824,MMT,MTSM,0,4000,adjacent,southbound,1
5000,NoTP,North Transfer Point,The North Transfer Point station is located at 1213 HUXLEY ST - just south of ABERG AVE,43.112918,-89.358526,MMT,MTSM,1,,,,1
5100,5100,North Transfer Point,This stop (#5100) is on the pedestrian island at the North Transfer Point station,43.113253,-89.358540,MMT,MTSM,0,5000,adjacent,southbound,1
6000,WeTP,West Transfer Point,The West Transfer Point station is located at 5700 TOKAY BLVD - just west of WHITNEY WAY,43.053863,-89.475454,MMT,MTSM,1,,,,1
6100,6100,West Transfer Point,This stop (#6100) is on the pedestrian island at the West Transfer Point station,43.053883,-89.475098,MMT,MTSM,0,6000,adjacent,eastbound,1
7000,EaTP,East Transfer Point,The East Transfer Point station is located at 102 W CORPORATE DR - just north of MILWAUKEE ST,43.098624,-89.322251,MMT,MTSM,1,,,,1
7100,7100,East Transfer Point,This stop (#7100) is on the pedestrian island at the East Transfer Point station,43.098619,-89.322148,MMT,MTSM,0,7000,adjacent,eastbound,1
9000,9800,East Towne Ring,The East Towne ring road shelter stop (#9800) is located at 89 E TOWNE ML - just southeast of E TOWNE BL and INDEPENDENCE LA,43.126161,-89.307135,MMT,PRIV,1,,,,1
9800,9800,E Towne Ring & Shelter (EB),This stop (#9800) is eastbound on the 2000 block of EAST TOWNE RING adjacent E TOWNE SHELTER,43.126576,-89.306961,MMT,PRIV,0,9000,adjacent,eastbound,1
5,0005,W Dayton & N Orchard (EB),This stop (#0005) is eastbound on the 1299 block of DAYTON ST (W) farside ORCHARD ST (N),43.070947,-89.406982,MMT,CMAD,0,,farside,eastbound,1
10,0010,Langdon & N Park (WB),This stop (#0010) is westbound on the 898 block of LANGDON ST nearside PARK ST (N),43.075933,-89.400154,MMT,CMAD,0,,nearside,westbound,1
25,0025,Langdon & N Lake (EB),This stop (#0025) is eastbound on the 699 block of LANGDON ST farside LAKE ST (N),43.075691,-89.396944,MMT,CMAD,0,,farside,eastbound,1
39,0039,N Lake & W Johnson (NB),This stop (#0039) is northbound on the 299 block of LAKE ST (N) nearside JOHNSON ST (W),43.071895,-89.397341,MMT,CMAD,0,,nearside,northbound,1
45,0045,Langdon & N Carroll (EB),This stop (#0045) is eastbound on the 99 block of LANGDON ST farside CARROLL ST (N),43.078482,-89.38982,MMT,CMAD,0,,farside,eastbound,0
47,0047,Babcock & Linden (NB),This stop (#0047) is northbound on the 499 block of BABCOCK DR nearside LINDEN DR,43.074636,-89.412598,MMT,UWIS,0,,nearside,northbound,1
49,0049,N Lake & Langdon (NB),This stop (#0049) is northbound on the 599 block of LAKE ST (N) nearside LANGDON ST,43.075529,-89.397191,MMT,CMAD,0,,nearside,northbound,1
50,0050,Spring & N Brooks (WB),This stop (#0050) is westbound on the 998 block of SPRING ST nearside BROOKS ST (N),43.069442,-89.402267,MMT,CMAD,0,,nearside,westbound,1
52,0052,Observatory & N Charter (WB),This stop (#0052) is westbound on the 1198 block of OBSERVATORY DR nearside CHARTER ST (N),43.076131,-89.40566,MMT,UWIS,0,,nearside,westbound,1
53,0053,Observatory & North Hall (EB),This stop (#0053) is eastbound on the 1099 block of OBSERVATORY DR adjacent NORTH HALL,43.075781,-89.403882,MMT,UWIS,0,,adjacent,eastbound,1
54,0054,Spring & N Mills (WB),This stop (#0054) is westbound on the 1098 block of SPRING ST nearside MILLS ST (N),43.06947,-89.403872,MMT,CMAD,0,,nearside,westbound,1
56,0056,Observatory & Liz Waters (WB),This stop (#0056) is westbound on the 1300 block of OBSERVATORY DR adjacent ELIZABETH WATERS HALL,43.07665,-89.407141,MMT,UWIS,0,,adjacent,westbound,1
60,0060,Observatory & Bascom (WB),This stop (#0060) is westbound on the 1100 block of OBSERVATORY DR adjacent BASCOM HALL,43.075996,-89.40366,MMT,UWIS,0,,adjacent,westbound,1
61,0061,W Dayton & N Mills (EB),This stop (#0061) is eastbound on the 1099 block of DAYTON ST (W) farside MILLS ST (N),43.070893,-89.403698,MMT,CMAD,0,,farside,eastbound,1
68,0068,N Lake & W Johnson (SB),This stop (#0068) is southbound on the 300 block of LAKE ST (N) nearside JOHNSON ST (W),43.072172,-89.397625,MMT,CMAD,0,,nearside,southbound,1
70,0070,N Park & Lathrop (SB),This stop (#0070) is southbound on the 500 block of PARK ST (N) nearside LATHROP DR,43.07433,-89.400784,MMT,CMAD,0,,nearside,southbound,1
73,0073,W Dayton & E Campus (EB),This stop (#0073) is eastbound on the 799 block of DAYTON ST (W) farside EAST CAMPUS MALL,43.07082,-89.39865,MMT,CMAD,0,,farside,eastbound,1
77,0077,W Dayton & N Park (EB),This stop (#0077) is eastbound on the 901 block of DAYTON ST (W) nearside PARK ST (N),43.070857,-89.401119,MMT,CMAD,0,,nearside,eastbound,1
87,0087,N Broom & W Gorham (NB),This stop (#0087) is northbound on the 399 block of BROOM ST (N) nearside GORHAM ST (W),43.07415,-89.392328,MMT,CMAD,0,,nearside,northbound,1
89,0089,Langdon & N Henry (EB),This stop (#0089) is eastbound on the 199 block of LANGDON ST farside HENRY ST (N),43.076844,-89.392142,MMT,CMAD,0,,farside,eastbound,1
96,0096,Wisconsin & W Gorham (SB),This stop (#0096) is southbound on the 400 block of WISCONSIN AVE nearside GORHAM ST (W),43.077515,-89.388055,MMT,CMAD,0,,nearside,southbound,0
99,0099,Langdon & N Park (EB),This stop (#0099) is eastbound on the 899 block of LANGDON ST farside PARK ST (N),43.075745,-89.400179,MMT,CMAD,0,,farside,eastbound,1
100,0100,University & N Park (WB),This stop (#0100) is westbound on the 900 block of UNIVERSITY AVE farside PARK ST (N),43.073399,-89.401365,MMT,CMAD,0,,farside,westbound,1
104,0104,N Mills & W Dayton (SB),This stop (#0104) is southbound on the 200 block of MILLS ST (N) nearside DAYTON ST (W),43.071144,-89.404229,MMT,CMAD,0,,nearside,southbound,1
